,num,product_page,product_description
0,0,https://ap0cene.com/collections/a-beautiful-orgasm/products/infinity-pants,"
            Long suede pants with a curvy silhouette made to create natural folds when worn. Play around with folds for desired fit. Uneven pockets in back with an elastic waist. Pair with our Spider Top to steal the show. This item is made-to-order, expect additional processing time. Color: Brown  Material: Faux Suede Details: Pants are long, and are meant to be pulled up and folded for desired fit.Dispatch Time: Within 1-2 weeks.Care Instructions: Dry clean or wash inside out separate from other clothing. Size: Model is 5'3"" and wears a size Small. In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @abeautifulorgasm

"
16,16,https://ap0cene.com/collections/a-beautiful-orgasm/products/spider-top,"
Sheer top with white mesh pleated detail, irregular hems, and a connecting half sleeve. Pair with our Cool Girl Denim or Infinity Pants. This item is made-to-order, expect additional processing time. Color: White Material: Cotton, spandex, polyester Details: Soft, delicate fit. Dispatch Time: Within 1-2 weeks.Care Instructions: Hand wash, Dry Clean. Size: Model is 5'3"" and wears size Small.
In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @abeautifulorgasm
"
25,25,https://ap0cene.com/collections/a-beautiful-orgasm/products/cool-girl-denim,"
            Baggy fit denim pants with straps and pleated seams. Pockets in the back, low-mid rise with a zipper closure. This item is made-to-order, expect additional processing time.Color: Grey Material: Denim Details: Extreme baggy fit Dispatch Time: Within 10 days. Care Instructions: Machine wash on cold with similar colors. Size: Model is 5'9"" and wears size Small. In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @abeautifulorgasm

"
41,41,https://ap0cene.com/collections/a-beautiful-orgasm/products/vermicelli-top-white,"
            Versatile long sleeve reversible top with exposed lines and mid section slit. Pair with our Infinity Pants or Cool Girl denim for a comfortable and effortless everyday look. This item is made-to-order, expect additional processing time. Color: White  Material: Polyester, spandex Details: Stretchy, soft, hugs the body.  Dispatch Time:  Within 1-2 weeks.Care Instructions: Machine wash on cold with similar colors. Size: Model is 5'3"" and wears a size Small. In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @abeautifulorgasm

"
77,77,https://ap0cene.com/collections/aephotika/products/realm-beyond,"
            When a warrior dies they cross the bridge between worlds and enter the Realm Beyond. There the skies glow and illuminate the warrior's armour so they may finally lay down their sword. Wear these tokens of the Realm Beyond to give you strength. Made to be worn comfortably, the goo earrings are extremely lightweight and are on sterling silver hooks. This item is handmade.Color:  Magenta, ice blue, orange, lime Material: Resin, stainless steel, sterling silver Details: 2.5cm x 4cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water.  In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
86,86,https://ap0cene.com/collections/aephotika/products/calcified-heart-necklace,"
            The once beating heart of a long-forgotten creature now rests, hardened with time and glowing in strange colors of neon lime, black and magenta. This large and complex heart hangs from a stainless steel chain to keep it safely around your neck. It is said to have come from the depths of the sea, and when under ultraviolet light illuminates like some phosphorescent fish. Who knows if this is true through, after all such a large heart must hold many secrets. This item is handmade.Color:  Lime, magenta, black Material: Resin, stainless steel Details: Heart: 5cm x 6.5cm Chain: 58cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover), keep away from salt water.Size:  Length: 23” In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
95,95,https://ap0cene.com/collections/aephotika/products/fresh-heart-belly-bar,"
            14g double jeweled surgical steel navel barbell with 5mm/8mm balls and Mini Goo Heart charm in ""Fresh Heart"". This item is handmade.Color: Pink Material: Surgical steel, resin Details: Gauge: 14g Length: 10mm -⅜’ Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover)      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
99,99,https://ap0cene.com/collections/aephotika/products/lost-talisman,"
            An ancient talisman lost for centuries, hidden within moss-covered ruins, what secrets does it hold? This Gooey artifact of ancient times hangs from a necklace of chainmail, glass and pearls. Wear it and you may uncover and ancient secret. The Lost Talisman necklace's stainless steel chainmail, adorned with crystal encrusted pearls and semi-precious stones, is handmade to resist the test of time and to keep the dripping talisman safely clasped around your neck. This item is handmade.Color:  Pink, spring green, white, aqua, purple Material: Resin, stainless steel, pearl, glass, chalcedony Details: Pendant: 3.4cm x 4cm Chain: 50cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water. Size:  Length: 20”      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
108,108,https://ap0cene.com/collections/aephotika/products/cephalopod-s-egg-necklace,"
            Down in the depths of the ocean, preserved remnants of an ancient species of cephalopod can be found. This egg was preserved before it could ever hatch, leaving us with a beautiful pendant, still housing a strange creature within. It hangs from a handmade necklace of semi-precious stones, pearls and glass beads. Some say that when wearing it, one feels the call of the sea. This item is handmade.Color:  Navy blue, lime, pink, ice blue, lavender Material: Resin, sterling silver, semi-precious stones, glass, stainless steel Details: Pendant: 2cm x 6cm Chain: 48cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water. Size:  Length: 19” In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
117,117,https://ap0cene.com/collections/aephotika/products/warrior-s-heart-necklace,"
            The heart of an ancient warrior, preserved in Goo so that it may be worn as a talisman. The Warriors Heart hangs from a chainmail necklace of the toughest steel, wear it and you shall feel the the spirit and strength of a warrior within you. This item is handmade.Color: Pink Material: Resin, stainless steel, glass, chalcedony Details: Heart: 4cm x 6cm Chain: 42cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water. Size:  Length: 16” In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
142,142,https://ap0cene.com/collections/aephotika/products/ocean-s-eye-pendant,"
            The Ocean's Eye pendant awaits it's wearer like a lost treasure buried in the depths of the sea. The smooth blue stone of a semi-precious nature is thought to have some kind of otherworldly healing properties, much like that of saltwater. Paired with the dripping pinks and icy blues of the coral-like Goo pendant; The stone and Goo form a soothing talisman that will carry you through your journeys. It shall remain close to your heart, clasped round your neck with delicate but strong stainless steel chain. This item is handmade.Color:  Ice blue, grapefruit pink, peach Material: Resin, semi precious stone, stainless steel Details: Pendant: 5.5cm x 3cm Chain: 48cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water Size:  Length: 19”     In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
151,151,https://ap0cene.com/collections/aephotika/products/celestial-guide-earrings,"
            Once shooting stars, they plummeted from the sky in a blaze of blue flame and landed upon our earth as celestial Goo. Just like the stars, they offer guidance in the dark to any who wear them. Made to be worn comfortably, the goo earrings are extremely lightweight and are on sterling silver hooks. This item is handmade.Color:  Fuchsia, lime, purple Material: Resin, glass, sterling silver Details: 2.5cm x 4.5cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water.      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
160,160,https://ap0cene.com/collections/aephotika/products/phosphorescent-slime-earrings,"
            Ancient phosphorescent algae that has come together and formed a strange kind of sea treasure. The glow of the algae is still present in the vivid green of these earrings. Made to be worn comfortably, the goo earrings are extremely lightweight and are on sterling silver hooks. This item is handmade.Color:  Green, Black Material: Resin, sterling silver Details: Earrings: 2cm x 3cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water.  In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
